time_s,dP_Pa,O2_pct,exhale_state
184.777,0.0,18.66,0
184.877,2.364,18.66,0
184.977,2.852,18.66,0
185.077,3.21,18.63,1
185.177,2.806,18.63,1
185.277,2.498,18.63,1
185.377,2.41,18.63,1
185.477,1.923,18.63,1
185.577,1.656,18.63,1
185.677,0.794,18.63,1
185.777,0.0,18.63,1
185.877,0.0,18.63,1
185.977,0.0,18.63,0
186.077,0.0,18.63,0
186.177,0.0,18.63,0
186.277,0.0,18.66,0
186.377,0.0,18.66,0
186.477,0.0,18.66,0
186.577,0.0,18.66,0
186.677,0.0,18.66,0
186.777,2.502,18.66,0
186.877,3.294,18.63,0
186.977,3.569,18.63,1
187.077,2.944,18.63,1
187.177,2.806,18.63,1
187.277,2.548,18.63,1
187.377,2.056,18.63,1
187.477,1.702,18.63,1
187.577,1.064,18.63,1
187.677,0.0,18.63,1
187.777,0.0,18.63,1
187.877,0.0,18.63,0
187.977,0.0,18.63,0
188.077,0.0,18.66,0
188.177,0.0,18.66,0
188.277,0.0,18.66,0
188.377,0.0,18.66,0
188.477,0.0,18.66,0
188.577,0.0,18.66,0
188.677,0.531,18.63,0
188.777,2.806,18.63,0
188.877,3.294,18.63,1
188.977,3.119,18.63,1
189.077,2.944,18.63,1
189.177,2.806,18.63,1
189.277,2.323,18.59,1
189.377,2.456,18.59,1
189.477,1.744,18.59,1
189.577,0.0,18.59,1
189.677,0.0,18.59,1
189.777,0.0,18.59,0
189.877,0.0,18.63,0
189.977,0.0,18.63,0
190.077,0.0,18.63,0
190.177,0.0,18.63,0
